152	102	54937100.jpg	Binzume Yousei		Bottle Fairy	Serie	done	2003	13	Alltagsleben, Fantasy, Komödie, Magical Girl	Tv Aufzeichung	0	Anime.Sub/Bottle Fairy	409
153	5475	54937151.jpg	Break Blade		Broken Blade	OVA	done	2010	6	Action, Drama, Fantasy, Mecha	DVD	0	Anime.Sub/Break Blade [C-Subs]	392
154	4823	549371b3.jpg	Bounen no Xamdou		Xam'd: Lost Memories	Serie	done	2008	26	Action, Alltagsleben, Drama, Fantasy, Mecha, Romanze, Sci-Fi	Tv Aufzeichung	0	Anime.Sub/Bounen no Xamdou	661
155	7240	5493728d.jpg	Brave10		Brave 10	Serie	done	2012	12	Action, Drama, Komödie	Tv Aufzeichung	0	Anime.Sub/BRAVE 10	384
156	57	5493733a.jpg	Bubblegum Crisis Tokyo 2040		Bubblegum Crisis Tokyo 2040	Serie	done	1998	26	Action, Mecha, Sci-Fi	Tv Aufzeichung	0	Anime.Sub/Bubblegum Crisis Tokyo 2040	371
157	5970	549373bc.jpg	Bungaku Shoujo: Kyou no Oyatsu - Hatsukoi			OVA	done	2009	1	Psychodrama, Romanze	DVD	0	Anime.Sub/Bungaku Shoujo Kyou no Oyatsu - Hatsukoi OVA	377
158	4581	549373f8.jpg	Bus Gamer			Serie	done	2008	3	Action, Drama, Komödie, Splatter	DVD	0	Anime.Sub/Bus Gamer OVA	345
159	3650	54937476.jpg	Busou Renkin		Buso Renkin	Serie	done	2006	26	Fighting-Shounen, Action, Drama, Fantasy, Komödie, Romanze, Splatter	TV	0	Anime.Sub/Busou Renkin	440
160	8202	54937b0a.jpg	Boku no Imouto wa 		Boku-no-imoutowa"Osaka-okan"	Misc	done	2012	12	Komödie, Alltagsleben	Web	0	Anime.Sub/Boku no Imouto wa Osaka Okan	415
161	6679	54938b2d.jpg	C: Control - The Money and Soul of Possibility		C: Control - The Money and Soul of Possibility	Serie	done	2011	11	Action, Drama, Mystery, Thriller	TV	0	Anime.Sub/C The Money Of Soul And Possibikity Control	556
162	8662	54938c6d.jpg	Akuma no Riddle [WebRip]	Akuma no Riddle	Riddle Story of Devil	Serie	licensed	2014	12	Action, Drama, Yuri	Webrip	0	Anime Webrips/Akuma no Riddle	51
164	7864	5496bb3c.jpg	C3: C Cube - Rinkan Gakkou Confusion!		C³ OVA	Serie	done	2012	1	Action, Ecchi, Harem, Komödie, Romanze	DVD	0	Anime.Sub/C3 C Cube - Rinkan Gakkou Confusion!	635
